opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,35294,245,3937,6.2
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,35899,93,1513,6.1
1057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,36688,289,3847,7.5
1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,BAY MINETTE         ,AL,36507,180,1107,16.2
1061,ALASKA PACIFIC UNIVERSITY                                        ,4101 UNIVERSITY DRIVE                             ,ANCHORAGE           ,AK,99508,16,207,7.7
1063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,"3RD FLOOR, SIGNER'S HALL                          ",FAIRBANKS           ,AK,99775,162,1287,12.5
1065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,11066 AUKE LAKE WAY                               ,JUNEAU              ,AK,99801,54,465,11.6
1071,ARIZONA WESTERN COLLEGE                                          ,2020 SOUTH AVENUE 8E               FINANCIAL AID O,YUMA                ,AZ,85365,141,522,27
1072,COCHISE COLLEGE                                                  ,901 NORTH COLOMBO                                 ,SIERRA VISTA        ,AZ,85635,36,374,9.6
1074,GRAND CANYON UNIVERSITY                                          ,3300 WEST CAMELBACK ROAD                          ,PHOENIX             ,AZ,85017,2331,22551,10.3
1076,GLENDALE COMMUNITY COLLEGE                                       ,6000 WEST OLIVE AVENUE                            ,GLENDALE            ,AZ,85302,649,2943,22
1077,MESA COMMUNITY COLLEGE                                           ,1833 WEST SOUTHERN AVENUE                         ,MESA                ,AZ,85202,1174,5105,22.9
1078,PHOENIX COLLEGE                                                  ,1202 WEST THOMAS ROAD                             ,PHOENIX             ,AZ,85013,574,2312,24.8
1079,YAVAPAI COLLEGE                                                  ,1100 EAST SHELDON STREET                          ,PRESCOTT            ,AZ,86301,131,563,23.2
1081,ARIZONA STATE UNIVERSITY                                         ,FINANCIAL AID & SCHOLARSHIP SRVCS  1151 SOUTH FORE,TEMPE               ,AZ,85287,1096,14964,7.3
1082,NORTHERN ARIZONA UNIVERSITY                                      ,"GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209       ",FLAGSTAFF           ,AZ,86011,463,6336,7.3
1083,UNIVERSITY OF ARIZONA (THE)                                      ,PO BOX 210066                      ADMINISTRATION ,TUCSON              ,AZ,85721,384,6390,6
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,140 UNIVERSITY DRIVE                              ,MONTICELLO          ,AR,71656,320,1284,24.9
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1200 NORTH UNIVERSITY DRIVE                       ,PINE BLUFF          ,AR,71601,294,1189,24.7
1087,ARKANSAS BAPTIST COLLEGE                                         ,1621 DOCTOR MARTIN L. KING DRIVE                  ,LITTLE ROCK         ,AR,72202,249,979,25.4
1088,LYON COLLEGE                                                     ,2300 HIGHLAND ROAD                                ,BATESVILLE          ,AR,72501,13,202,6.4
1089,ARKANSAS TECH UNIVERSITY                                         ,215 WEST O STREET                                 ,RUSSELLVILLE        ,AR,72801,404,2351,17.1
1090,ARKANSAS STATE UNIVERSITY                                        ,2105 AGGIE ROAD                                   ,JONESBORO           ,AR,72401,482,4719,10.2
1091,ARKANSAS STATE UNIVERSITY - BEEBE                                ,1000 IOWA STREET                                  ,BEEBE               ,AR,72012,147,733,20
1092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,201 DONAGHEY AVENUE                               ,CONWAY              ,AR,72035,247,2701,9.1
1093,CENTRAL BAPTIST COLLEGE                                          ,1501 COLLEGE AVENUE                               ,CONWAY              ,AR,72034,23,211,10.9
1094,UNIVERSITY OF THE OZARKS                                         ,415 NORTH COLLEGE AVENUE                          ,CLARKSVILLE         ,AR,72830,23,131,17.5
1095,CROWLEY'S RIDGE COLLEGE                                          ,100 COLLEGE DRIVE                                 ,PARAGOULD           ,AR,72450,17,69,24.6
1097,HARDING UNIVERSITY                                               ,915 EAST MARKET                                   ,SEARCY              ,AR,72149,41,1312,3.1
1098,HENDERSON STATE UNIVERSITY                                       ,1100 HENDERSON STREET                             ,ARKADELPHIA         ,AR,71999,163,1092,14.9
1099,HENDRIX COLLEGE                                                  ,1600 WASHINGTON AVENUE                            ,CONWAY              ,AR,72032,13,267,4.8
1100,JOHN BROWN UNIVERSITY                                            ,2000 WEST UNIVERSITY STREET                       ,SILOAM SPRINGS      ,AR,72761,20,644,3.1
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,2801 SOUTH UNIVERSITY                             ,LITTLE ROCK         ,AR,72204,289,3353,8.6
1102,OUACHITA BAPTIST UNIVERSITY                                      ,410 OUACHITA DRIVE                                ,ARKADELPHIA         ,AR,71998,20,290,6.8
1103,PHILANDER SMITH COLLEGE                                          ,900 WEST DAISY GASTON BATES DRIVE                 ,LITTLE ROCK         ,AR,72202,41,262,15.6
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,HELENA              ,AR,72342,15,88,17
1105,SHORTER COLLEGE                                                  ,604 LOCUST STREET                                 ,NORTH LITTLE ROCK   ,AR,72114,0,0,0
1106,WILLIAMS BAPTIST COLLEGE                                         ,60 W. FULLBRIGHT AVENUE                           ,WALNUT RIDGE        ,AR,72476,16,178,8.9
1107,SOUTHERN ARKANSAS UNIVERSITY                                     ,100 EAST UNIVERSITY                               ,MAGNOLIA            ,AR,71753,170,943,18
1108,UNIVERSITY OF ARKANSAS                                           ,425 ADMINISTRATION BUILDING                       ,FAYETTEVILLE        ,AR,72701,220,3460,6.3
1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,4301 WEST MARKHAM STREET           SLOT 864       ,LITTLE ROCK         ,AR,72205,9,759,1.1
1110,UNIVERSITY OF ARKANSAS AT FORT SMITH                             ,5210 GRAND AVENUE                                 ,FORT SMITH          ,AR,72904,348,1710,20.3
1111,ALLAN HANCOCK COLLEGE                                            ,800 SOUTH COLLEGE DRIVE                           ,SANTA MARIA         ,CA,93454,28,114,24.5
1113,ANTELOPE VALLEY COLLEGE                                          ,3041 WEST AVENUE K                                ,LANCASTER           ,CA,93536,428,1634,26.1
1116,ART CENTER COLLEGE OF DESIGN                                     ,1700 LIDA STREET                                  ,PASADENA            ,CA,91103,15,462,3.2
1117,AZUSA PACIFIC UNIVERSITY                                         ,901 EAST ALOSTA AVENUE                            ,AZUSA               ,CA,91702,103,2857,3.6
1118,BAKERSFIELD COLLEGE                                              ,1801 PANORAMA DRIVE                               ,BAKERSFIELD         ,CA,93305,133,623,21.3
1120,AMERICAN BAPTIST SEMINARY OF THE WEST                            ,2606 DWIGHT WAY                                   ,BERKELEY            ,CA,94704,9,41,21.9
1122,BIOLA UNIVERSITY                                                 ,13800 BIOLA AVENUE                                ,LA MIRADA           ,CA,90639,31,1357,2.2
1124,CABRILLO COLLEGE                                                 ,6500 SOQUEL DRIVE                                 ,APTOS               ,CA,95003,53,324,16.3
1125,CALIFORNIA BAPTIST UNIVERSITY                                    ,8432 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,92504,75,1567,4.7
1127,CALIFORNIA COLLEGE OF THE ARTS                                   ,1111 EIGHTH STREET                                ,SAN FRANCISCO       ,CA,94107,17,504,3.3
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,1200 EAST CALIFORNIA BOULEVARD                    ,PASADENA            ,CA,91125,1,39,2.5
1132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,VALENCIA            ,CA,91355,19,355,5.3
1133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,60 WEST OLSEN ROAD                                ,THOUSAND OAKS       ,CA,91360,27,986,2.7
1134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,200 MARITIME ACADEMY DRIVE                        ,VALLEJO             ,CA,94590,7,181,3.8
1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",800 NORTH STATE COLLEGE BOULEVARD                 ,FULLERTON           ,CA,92831,185,5249,3.5
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",25800 CARLOS BEE BOULEVARD                        ,HAYWARD             ,CA,94542,120,2576,4.6
1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1250 BELLFLOWER BOULEVARD                         ,LONG BEACH          ,CA,90840,208,5461,3.8
1140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",5151 STATE UNIVERSITY DRIVE                       ,LOS ANGELES         ,CA,90032,211,3463,6
1141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1000 EAST VICTORIA STREET                         ,CARSON              ,CA,90747,215,2784,7.7
1142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",5500 UNIVERSITY PARKWAY                           ,SAN BERNARDINO      ,CA,92407,254,3669,6.9
1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,ONE GRAND AVENUE                                  ,SAN LUIS OBISPO     ,CA,93407,41,2554,1.6
1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",3801 WEST TEMPLE AVENUE                           ,POMONA              ,CA,91768,102,3184,3.2
1146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",400 WEST FIRST STREET                             ,CHICO               ,CA,95929,162,2902,5.5
1147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",5150 NORTH MAPLE AVENUE            MS JA64        ,FRESNO              ,CA,93740,150,3463,4.3
1149,HUMBOLDT STATE UNIVERSITY                                        ,1 HARPST STREET                                   ,ARCATA              ,CA,95521,164,1773,9.2
1150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,6000 J STREET                                     ,SACRAMENTO          ,CA,95819,298,5071,5.8
1151,SAN DIEGO STATE UNIVERSITY                                       ,5500 CAMPANILE DRIVE                              ,SAN DIEGO           ,CA,92182,195,5393,3.6
1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,NORTHRIDGE          ,CA,91330,338,6467,5.2
1154,SAN FRANCISCO STATE UNIVERSITY                                   ,1600 HOLLOWAY AVENUE                              ,SAN FRANCISCO       ,CA,94132,317,5506,5.7
1155,SAN JOSE STATE UNIVERSITY                                        ,ONE WASHINGTON SQUARE                             ,SAN JOSE            ,CA,95192,144,4566,3.1
1156,SONOMA STATE UNIVERSITY                                          ,1801 EAST COTATI AVENUE                           ,ROHNERT PARK        ,CA,94928,56,1561,3.5
1157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS                          ",ONE UNIVERSITY CIRCLE                             ,TURLOCK             ,CA,95382,100,1768,5.6
1161,CERRITOS COMMUNITY COLLEGE                                       ,11110 ALONDRA BOULEVARD                           ,NORWALK             ,CA,90650,83,484,17.1
1162,CHABOT COLLEGE                                                   ,25555 HESPERIAN BOULEVARD                         ,HAYWARD             ,CA,94545,71,353,20.1
1163,CHAFFEY COMMUNITY COLLEGE                                        ,5885 HAVEN AVENUE                                 ,RANCHO CUCAMONGA    ,CA,91737,22,215,10.2
1164,CHAPMAN UNIVERSITY                                               ,ONE UNIVERSITY DRIVE                              ,ORANGE              ,CA,92866,79,3365,2.3
1165,CHURCH DIVINITY SCHOOL OF THE PACIFIC                            ,2451 RIDGE ROAD                                   ,BERKELEY            ,CA,94709,3,59,5
1166,CITRUS COMMUNITY COLLEGE                                         ,1000 WEST FOOTHILL BOULEVARD                      ,GLENDORA            ,CA,91741,53,315,16.8
1169,CLAREMONT GRADUATE UNIVERSITY                                    ,170 EAST 10TH STREET                              ,CLAREMONT           ,CA,91711,19,487,3.9
1170,CLAREMONT MCKENNA COLLEGE                                        ,500 EAST NINTH STREET                             ,CLAREMONT           ,CA,91711,0,64,0
1171,HARVEY MUDD COLLEGE                                              ,301 PLATT BOULEVARD                               ,CLAREMONT           ,CA,91711,0,124,0
1172,PITZER COLLEGE                                                   ,1050 NORTH MILLS AVENUE                           ,CLAREMONT           ,CA,91711,4,120,3.3
1173,POMONA COLLEGE                                                   ,550 NORTH COLLEGE AVENUE                          ,CLAREMONT           ,CA,91711,0,69,0
1174,SCRIPPS COLLEGE                                                  ,1030 COLUMBIA AVENUE                              ,CLAREMONT           ,CA,91711,3,104,2.8
1176,WEST HILLS COMMUNITY COLLEGE                                     ,300 CHERRY LANE                                   ,COALINGA            ,CA,93210,49,168,29.1
1177,COGSWELL POLYTECHNICAL COLLEGE                                   ,191 BAYPOINTE PARKWAY                             ,SAN JOSE            ,CA,95134,4,63,6.3
1178,COLLEGE OF MARIN                                                 ,835 COLLEGE AVENUE                                ,KENTFIELD           ,CA,94904,82,320,25.6
1179,NOTRE DAME DE NAMUR UNIVERSITY                                   ,1500 RALSTON AVENUE                               ,BELMONT             ,CA,94002,17,488,3.4
1181,COLLEGE OF SAN MATEO                                             ,1700 WEST HILLSDALE BOULEVARD                     ,SAN MATEO           ,CA,94402,8,79,10.1
1182,COLLEGE OF THE DESERT                                            ,43-500 MONTEREY AVENUE                            ,PALM DESERT         ,CA,92260,27,151,17.8
1183,HOLY NAMES UNIVERSITY                                            ,3500 MOUNTAIN BOULEVARD                           ,OAKLAND             ,CA,94619,15,381,3.9
1185,COLLEGE OF THE REDWOODS                                          ,7351 TOMPKINS HILL ROAD                           ,EUREKA              ,CA,95501,112,469,23.8
1186,COLLEGE OF THE SEQUOIAS                                          ,915 SOUTH MOONEY BOULEVARD                        ,VISALIA             ,CA,93277,30,167,17.9
1187,COLLEGE OF THE SISKIYOUS                                         ,800 COLLEGE AVENUE                                ,WEED                ,CA,96094,100,352,28.4
1190,CONTRA COSTA COLLEGE                                             ,2600 MISSION BELL DRIVE                           ,SAN PABLO           ,CA,94806,39,154,25.3
1191,DIABLO VALLEY COLLEGE                                            ,321 GOLF CLUB ROAD                                ,PLEASANT HILL       ,CA,94523,15,128,11.7
1192,CUESTA COLLEGE                                                   ,HIGHWAY 1                                         ,SAN LUIS OBISPO     ,CA,93403,45,408,11
1193,CYPRESS COLLEGE                                                  ,9200 VALLEY VIEW STREET                           ,CYPRESS             ,CA,90630,89,482,18.4
1196,DOMINICAN UNIVERSITY OF CALIFORNIA                               ,50 ACACIA AVENUE                                  ,SAN RAFAEL          ,CA,94901,17,622,2.7
1197,EL CAMINO COLLEGE                                                ,16007 CRENSHAW BOULEVARD                          ,TORRANCE            ,CA,90506,71,423,16.7
1199,FOOTHILL COLLEGE                                                 ,12345 EL MONTE ROAD                               ,LOS ALTOS HILLS     ,CA,94022,54,400,13.5
1200,FULLER THEOLOGICAL SEMINARY                                      ,135 NORTH OAKLAND AVENUE                          ,PASADENA            ,CA,91182,8,517,1.5
1201,FULLERTON COLLEGE                                                ,321 EAST CHAPMAN AVENUE                           ,FULLERTON           ,CA,92832,75,486,15.4
1202,GAVILAN COLLEGE                                                  ,5055 SANTA TERESA BOULEVARD                       ,GILROY              ,CA,95020,59,211,27.9
1203,GLENDALE COMMUNITY COLLEGE                                       ,1500 NORTH VERDUGO ROAD                           ,GLENDALE            ,CA,91208,23,240,9.5
1205,GOLDEN GATE UNIVERSITY                                           ,536 MISSION STREET                                ,SAN FRANCISCO       ,CA,94105,19,908,2
1206,GOLDEN WEST COLLEGE                                              ,15744 GOLDEN WEST STREET                          ,HUNTINGTON BEACH    ,CA,92647,28,236,11.8
1207,GRADUATE THEOLOGICAL UNION                                       ,2400 RIDGE ROAD                                   ,BERKELEY            ,CA,94709,1,78,1.2
1208,GROSSMONT COLLEGE                                                ,8800 GROSSMONT COLLEGE DRIVE                      ,EL CAJON            ,CA,92020,59,378,15.6
1209,HARTNELL COMMUNITY COLLEGE                                       ,411 CENTRAL AVENUE                                ,SALINAS             ,CA,93901,9,44,20.4
1212,HUMPHREYS UNIVERSITY                                             ,6650 INGLEWOOD AVENUE                             ,STOCKTON            ,CA,95207,57,551,10.3
1215,LA SIERRA UNIVERSITY                                             ,4500 RIVERWALK PARKWAY                            ,RIVERSIDE           ,CA,92515,35,617,5.6
1216,UNIVERSITY OF LA VERNE                                           ,1950 3RD STREET                                   ,LA VERNE            ,CA,91750,90,2350,3.8
1217,LASSEN COLLEGE                                                   ,478-200 HIGHWAY 139                               ,SUSANVILLE          ,CA,96130,43,133,32.3
1218,LOMA LINDA UNIVERSITY                                            ,11139 ANDERSON STREET                             ,LOMA LINDA          ,CA,92350,20,1204,1.6
1219,LONG BEACH CITY COLLEGE                                          ,4901 EAST CARSON STREET                           ,LONG BEACH          ,CA,90808,285,1174,24.2
1220,MASTER'S UNIVERSITY AND SEMINARY (THE)                           ,21726 PLACERITA CANYON ROAD                       ,SANTA CLARITA       ,CA,91321,9,342,2.6
1223,LOS ANGELES CITY COLLEGE                                         ,855 NORTH VERMONT AVENUE                          ,LOS ANGELES         ,CA,90029,147,597,24.6
1224,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,WILMINGTON          ,CA,90744,24,112,21.4
1226,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,WOODLAND HILLS      ,CA,91371,112,487,22.9
1227,LOS ANGELES TRADE-TECHNICAL COLLEGE                              ,400 WEST WASHINGTON BOULEVARD                     ,LOS ANGELES         ,CA,90015,50,155,32.2
1228,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,VALLEY GLEN         ,CA,91401,54,352,15.3
1229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES                ,16200 EAST AMBER VALLEY DRIVE                     ,WHITTIER            ,CA,90604,5,207,2.4
1230,MARSHALL B. KETCHUM UNIVERSITY                                   ,2575 YORBA LINDA BOULEVARD                        ,FULLERTON           ,CA,92831,0,102,0
1232,AMERICAN RIVER COLLEGE                                           ,4700 COLLEGE OAK DRIVE                            ,SACRAMENTO          ,CA,95841,484,1840,26.3
1233,SACRAMENTO CITY COLLEGE                                          ,3835 FREEPORT BOULEVARD                           ,SACRAMENTO          ,CA,95822,287,1237,23.2
1236,MENLO COLLEGE                                                    ,1000 EL CAMINO REAL                               ,ATHERTON            ,CA,94027,12,150,8
1238,MILLS COLLEGE                                                    ,5000 MACARTHUR BOULEVARD                          ,OAKLAND             ,CA,94613,21,546,3.8
1239,MIRACOSTA COLLEGE                                                ,ONE BARNARD DRIVE                                 ,OCEANSIDE           ,CA,92056,15,158,9.4
1242,MONTEREY PENINSULA COLLEGE                                       ,980 FREMONT STREET                                ,MONTEREY            ,CA,93940,42,196,21.4
1243,MOUNT SAINT MARY'S UNIVERSITY                                    ,12001 CHALON ROAD                                 ,LOS ANGELES         ,CA,90049,40,920,4.3
1245,MOUNT SAN ANTONIO COLLEGE                                        ,1100 NORTH GRAND AVENUE                           ,WALNUT              ,CA,91789,40,257,15.5
1246,MT. SAN JACINTO COLLEGE                                          ,1499 NORTH STATE STREET                           ,SAN JACINTO         ,CA,92583,60,333,18
1247,NAPA VALLEY COLLEGE                                              ,2277 NAPA VALLEJO HIGHWAY                         ,NAPA                ,CA,94558,13,114,11.4
1249,OCCIDENTAL COLLEGE                                               ,1600 CAMPUS ROAD                                  ,LOS ANGELES         ,CA,90041,8,284,2.8
1250,ORANGE COAST COLLEGE                                             ,2701 FAIRVIEW ROAD                                ,COSTA MESA          ,CA,92628,49,496,9.8
1251,OTIS COLLEGE OF ART & DESIGN                                     ,9045 LINCOLN BOULEVARD                            ,LOS ANGELES         ,CA,90045,28,272,10.2
1252,HOPE INTERNATIONAL UNIVERSITY                                    ,2500 EAST NUTWOOD AVENUE                          ,FULLERTON           ,CA,92831,16,384,4.1
1253,FRESNO PACIFIC UNIVERSITY                                        ,1717 SOUTH CHESTNUT AVENUE                        ,FRESNO              ,CA,93702,82,1322,6.2
1255,PACIFIC OAKS COLLEGE                                             ,55 EUREKA STREET                                  ,PASADENA            ,CA,91103,11,142,7.7
1256,PACIFIC SCHOOL OF RELIGION                                       ,1798 SCENIC AVENUE                                ,BERKELEY            ,CA,94709,2,49,4
1258,PACIFIC UNION COLLEGE                                            ,1 ANGWIN AVENUE                                   ,ANGWIN              ,CA,94508,22,442,4.9
1260,PALOMAR COLLEGE                                                  ,1140 WEST MISSION ROAD                            ,SAN MARCOS          ,CA,92069,97,306,31.6
1261,PASADENA CITY COLLEGE                                            ,1570 EAST COLORADO BOULEVARD                      ,PASADENA            ,CA,91106,50,286,17.4
1262,POINT LOMA NAZARENE UNIVERSITY                                   ,3900 LOMALAND DRIVE                               ,SAN DIEGO           ,CA,92106,20,1022,1.9
1266,LANEY COLLEGE                                                    ,900 FALLON STREET                                 ,OAKLAND             ,CA,94607,10,53,18.8
1267,MERRITT COLLEGE                                                  ,12500 CAMPUS DRIVE                                ,OAKLAND             ,CA,94619,36,128,28.1
1269,RIO HONDO COMMUNITY COLLEGE                                      ,3600 WORKMAN MILL ROAD                            ,WHITTIER            ,CA,90601,43,240,17.9
1270,RIVERSIDE CITY COLLEGE                                           ,4800 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,92506,90,634,14.1
1272,SAN BERNARDINO VALLEY COLLEGE                                    ,701 SOUTH MOUNT VERNON AVENUE                     ,SAN BERNARDINO      ,CA,92410,26,112,23.2
1273,SAN DIEGO CITY COLLEGE                                           ,1313 PARK BOULEVARD                               ,SAN DIEGO           ,CA,92101,242,905,26.7
1275,SAN DIEGO MESA COLLEGE                                           ,7250 MESA COLLEGE DRIVE                           ,SAN DIEGO           ,CA,92111,108,595,18.1
1278,SAN FRANCISCO CONSERVATORY OF MUSIC                              ,50 OAK STREET                                     ,SAN FRANCISCO       ,CA,94102,2,108,1.8
1279,SAN FRANCISCO THEOLOGICAL SEMINARY                               ,105 SEMINARY ROAD                                 ,SAN ANSELMO         ,CA,94960,13,58,22.4
1280,SAN JOAQUIN DELTA COLLEGE                                        ,5151 PACIFIC AVENUE                               ,STOCKTON            ,CA,95207,223,1000,22.3
1281,WILLIAM JESSUP UNIVERSITY                                        ,2121 UNIVERSITY AVENUE                            ,ROCKLIN             ,CA,95765,18,213,8.4
1282,SAN JOSE CITY COLLEGE                                            ,2100 MOORPARK AVENUE                              ,SAN JOSE            ,CA,95128,29,170,17
1284,SANTA ANA COLLEGE                                                ,1530 WEST 17TH STREET                             ,SANTA ANA           ,CA,92706,50,291,17.1
1285,SANTA BARBARA CITY COLLEGE                                       ,721 CLIFF DRIVE                                   ,SANTA BARBARA       ,CA,93109,238,1289,18.4
1286,SANTA MONICA COLLEGE                                             ,1900 PICO BOULEVARD                               ,SANTA MONICA        ,CA,90405,33,313,10.5
1287,SANTA ROSA JUNIOR COLLEGE                                        ,1501 MENDOCINO AVENUE                             ,SANTA ROSA          ,CA,95401,68,430,15.8
1288,CLAREMONT SCHOOL OF THEOLOGY                                     ,1325 NORTH COLLEGE AVENUE                         ,CLAREMONT           ,CA,91711,2,47,4.2
1289,SHASTA COLLEGE                                                   ,11555 OLD OREGON TRAIL                            ,REDDING             ,CA,96049,85,441,19.2
1290,SIERRA COLLEGE                                                   ,5100 SIERRA COLLEGE BOULEVARD                     ,ROCKLIN             ,CA,95677,175,866,20.2
1291,SIMPSON UNIVERSITY                                               ,2211 COLLEGE VIEW DRIVE                           ,REDDING             ,CA,96003,15,493,3
