opeid,name,state,subsidized_recipients,subsidized_loans_originated_nb,subsidized_loans_originated_usd,subsidized_disbursements_nb,subsidized_disbursements_usd,unsubsidized_undergraduate_recipients,unsubsidized_undergraduate_loans_originated_nb,unsubsidized_undergraduate_loans_originated_usd,unsubsidized_undergraduate_disbursements_nb,unsubsidized_undergraduate_disbursements_usd,unsubsidized_graduate_recipients,unsubsidized_graduate_loans_originated_nb,unsubsidized_graduate_loans_originated_usd,unsubsidized_graduate_disbursements_nb,unsubsidized_graduate_disbursements_usd,parent_plus_recipients,parent_plus_loans_originated_nb,parent_plus_loans_originated_usd,parent_plus_disbursements_nb,parent_plus_disbursements_usd,graduate_plus_recipients,graduate_plus_loans_originated_nb,graduate_plus_loans_originated_usd,graduate_plus_disbursements_nb,graduate_plus_disbursements_usd
1026,MARION MILITARY INSTITUTE,AL,178,178," $520,014.00 ",335," $494,097.00 ",210,210," $813,582.00 ",386," $746,278.00 ", - , - , $- ,0, $- ,26,26," $212,564.00 ",48," $197,620.00 ", - , - , $- ,0, $- 
1028,MILES COLLEGE,AL,1650,1801," $6,305,361.00 ",3328," $5,884,141.00 ",1688,2735," $7,761,041.00 ",5051," $7,211,402.00 ", - , - , $- ,0, $- ,128,151," $1,011,414.00 ",284," $964,028.00 ", - , - , $- ,0, $- 
1029,UNIVERSITY OF MOBILE,AL,1104,1154," $4,329,420.00 ",2303," $4,326,011.00 ",1229,1411," $5,870,466.00 ",2798," $5,853,676.00 ",185,222," $2,654,898.00 ",392," $2,647,035.00 ",108,113," $924,206.00 ",223," $921,726.00 ",2,2," $25,563.00 ",4," $25,563.00 "
1031,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,526,651," $1,348,206.00 ",1251," $1,313,803.00 ",128,164," $347,024.00 ",322," $345,641.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1033,OAKWOOD UNIVERSITY,AL,1476,1501," $6,071,086.00 ",2797," $6,073,316.00 ",1550,1685," $6,895,888.00 ",3151," $6,886,224.00 ",23,24," $405,773.00 ",41," $385,273.00 ",200,211," $2,618,235.00 ",420," $2,616,493.00 ", - , - , $- ,0, $- 
1036,SAMFORD UNIVERSITY,AL,864,936," $3,491,836.00 ",1650," $3,486,206.00 ",991,1117," $4,109,898.00 ",1965," $4,061,262.00 ",1086,1360," $26,085,200.00 ",2324," $25,872,847.00 ",462,532," $8,104,166.00 ",930," $7,918,186.00 ",712,1016," $15,395,173.00 ",1711," $15,229,267.00 "
1038,SNEAD STATE COMMUNITY COLLEGE,AL,597,675," $1,956,150.00 ",1111," $1,663,090.00 ",239,271," $650,734.00 ",469," $580,265.00 ", - , - , $- ,0, $- ,2,2," $11,500.00 ",4," $11,500.00 ", - , - , $- ,0, $- 
1040,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,1269,1412," $3,686,201.00 ",2589," $3,676,420.00 ",964,1091," $2,852,921.00 ",2018," $2,836,744.00 ", - , - , $- ,0, $- ,22,23," $84,300.00 ",42," $84,008.00 ", - , - , $- ,0, $- 
1041,SPRING HILL COLLEGE,AL,656,733," $2,722,906.00 ",1322," $2,712,223.00 ",762,958," $3,224,871.00 ",1772," $3,209,272.00 ",62,65," $822,422.00 ",132," $808,932.00 ",154,171," $2,083,814.00 ",322," $2,072,513.00 ", - , - , $- ,0, $- 
1044,STILLMAN COLLEGE,AL,805,807," $3,174,326.00 ",1545," $3,168,006.00 ",779,784," $3,546,039.00 ",1464," $3,536,898.00 ", - , - , $- ,0, $- ,102,103," $1,005,515.00 ",210," $1,000,947.00 ", - , - , $- ,0, $- 
1046,TALLADEGA COLLEGE,AL,750,750," $2,669,953.00 ",1347," $2,661,935.00 ",735,735," $3,210,975.00 ",1306," $3,197,789.00 ", - , - , $- ,0, $- ,25,25," $171,061.00 ",46," $169,865.00 ", - , - , $- ,0, $- 
1047,TROY UNIVERSITY,AL,10775,11240," $43,039,794.00 ",24339," $40,567,774.00 ",10867,11752," $58,324,219.00 ",25137," $54,598,521.00 ",3296,3418," $54,448,302.00 ",7565," $50,114,745.00 ",317,362," $3,025,451.00 ",601," $2,927,990.00 ",90,110," $908,931.00 ",184," $868,773.00 "
1050,TUSKEGEE UNIVERSITY,AL,1960,2178," $8,310,753.00 ",3788," $8,171,304.00 ",2011,3086," $9,567,940.00 ",5280," $9,348,830.00 ",362,474," $11,859,641.00 ",818," $11,757,799.00 ",427,586," $6,950,762.00 ",886," $6,868,493.00 ",203,342," $4,083,849.00 ",531," $4,073,042.00 "
1051,UNIVERSITY OF ALABAMA,AL,10011,10883," $40,214,947.00 ",18752," $40,196,432.00 ",11192,13186," $43,007,128.00 ",22977," $42,900,310.00 ",2413,2962," $37,990,311.00 ",4765," $37,804,837.00 ",2010,2305," $44,468,922.00 ",3929," $43,987,320.00 ",338,445," $5,161,443.00 ",639," $5,145,025.00 "
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,5662,6101," $23,142,920.00 ",10445," $21,930,233.00 ",5916,6794," $27,568,569.00 ",11720," $26,064,144.00 ",3267,3588," $65,181,976.00 ",6885," $61,598,807.00 ",394,466," $3,861,500.00 ",781," $3,775,816.00 ",463,527," $7,122,307.00 ",1079," $6,939,348.00 "
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,2534,2777," $10,263,816.00 ",4559," $10,247,653.00 ",2541,2986," $11,904,525.00 ",4894," $11,864,008.00 ",369,460," $4,944,823.00 ",688," $4,919,672.00 ",173,223," $1,857,180.00 ",344," $1,842,586.00 ",18,26," $165,297.00 ",33," $165,241.00 "
1057,UNIVERSITY OF SOUTH ALABAMA,AL,5943,6356," $23,260,598.00 ",10894," $23,160,985.00 ",6419,7400," $28,647,469.00 ",12771," $28,385,853.00 ",2139,2333," $39,997,862.00 ",4085," $39,403,675.00 ",694,745," $6,875,532.00 ",1306," $6,791,119.00 ",342,384," $3,180,999.00 ",577," $3,140,018.00 "
1060,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,1826,1911," $5,138,595.00 ",3319," $4,909,433.00 ",1610,1731," $4,411,489.00 ",3016," $4,213,036.00 ",7,7," $32,736.00 ",11," $29,486.00 ",26,26," $80,058.00 ",40," $76,101.00 ", - , - , $- ,0, $- 
5697,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,1021,1116," $2,981,565.00 ",1992," $2,746,791.00 ",805,945," $2,505,551.00 ",1716," $2,307,080.00 ", - , - , $- ,0, $- ,1,1," $10,843.00 ",1," $5,422.00 ", - , - , $- ,0, $- 
7871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,2440,2549," $8,327,632.00 ",4396," $7,833,325.00 ",2131,2407," $7,576,596.00 ",4185," $7,140,164.00 ", - , - , $- ,0, $- ,16,18," $79,308.00 ",32," $78,083.00 ", - , - , $- ,0, $- 
8310,AUBURN UNIVERSITY MONTGOMERY,AL,2285,2565," $8,138,466.00 ",4701," $8,120,057.00 ",2278,2705," $9,108,157.00 ",4978," $9,072,073.00 ",577,719," $7,766,689.00 ",1333," $7,749,823.00 ",93,119," $773,808.00 ",226," $758,954.00 ",18,19," $118,798.00 ",37," $118,798.00 "
10554,CONCORDIA COLLEGE ALABAMA,AL,598,598," $1,969,654.00 ",971," $1,967,404.00 ",599,707," $1,675,577.00 ",1141," $1,673,668.00 ",1,1," $12,500.00 ",2," $12,500.00 ",22,22," $83,925.00 ",33," $83,925.00 ", - , - , $- ,0, $- 
12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,413,424," $1,172,120.00 ",794," $1,135,483.00 ",333,339," $1,021,306.00 ",625," $983,183.00 ", - , - , $- ,0, $- ,2,2," $19,990.00 ",4," $19,990.00 ", - , - , $- ,0, $- 
21706,UNITED STATES SPORTS ACADEMY,AL,130,207," $437,268.00 ",207," $437,268.00 ",125,197," $549,754.00 ",197," $547,634.00 ",392,715," $4,656,097.00 ",716," $4,635,867.00 ", - , - , $- ,0, $- ,7,8," $156,195.00 ",14," $130,650.00 "
21997,HERITAGE CHRISTIAN UNIVERSITY,AL,32,52," $118,052.00 ",103," $116,927.00 ",28,46," $135,445.00 ",91," $133,945.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
22704,SOUTHEASTERN BIBLE COLLEGE,AL,143,149," $580,231.00 ",258," $549,763.00 ",141,164," $731,842.00 ",288," $688,803.00 ", - , - , $- ,0, $- ,8,8," $63,530.00 ",13," $57,989.00 ", - , - , $- ,0, $- 
22850,PAUL MITCHELL THE SCHOOL HUNTSVILLE,AL,91,106," $315,933.00 ",194," $310,277.00 ",88,104," $435,700.00 ",192," $431,700.00 ", - , - , $- ,0, $- ,11,11," $78,753.00 ",19," $74,639.00 ", - , - , $- ,0, $- 
22960,PRINCE INSTITUTE - SOUTHEAST,AL,169,204," $605,919.00 ",508," $598,357.00 ",180,230," $839,710.00 ",536," $827,239.00 ", - , - , $- ,0, $- ,5,5," $33,574.00 ",15," $33,496.00 ", - , - , $- ,0, $- 
23410,FORTIS COLLEGE,AL,1920,2258," $6,379,986.00 ",4793," $6,051,291.00 ",1738,2019," $7,396,377.00 ",4450," $6,846,568.00 ", - , - , $- ,0, $- ,54,70," $328,281.00 ",144," $314,739.00 ", - , - , $- ,0, $- 
25034,AMRIDGE UNIVERSITY,AL,391,393," $1,298,706.00 ",940," $1,282,592.00 ",380,383," $1,780,884.00 ",914," $1,752,956.00 ",366,366," $5,571,188.00 ",902," $5,534,691.00 ",1,1," $13,360.00 ",2," $6,680.00 ",31,31," $472,465.00 ",74," $462,888.00 "
26055,REMINGTON COLLEGE - MOBILE CAMPUS,AL,2769,3124," $8,987,292.00 ",5655," $8,813,847.00 ",2565,2905," $13,112,139.00 ",5364," $12,847,665.00 ", - , - , $- ,0, $- ,133,161," $930,765.00 ",326," $886,082.00 ", - , - , $- ,0, $- 
30106,VIRGINIA COLLEGE,AL,23316,29267," $77,320,597.00 ",63840," $77,221,006.00 ",22816,38543," $102,575,806.00 ",82207," $102,460,321.00 ",188,330," $2,227,798.00 ",733," $2,224,848.00 ",381,486," $3,176,158.00 ",1081," $3,141,491.00 ", - , - , $- ,0, $- 
33614,FORTIS COLLEGE,AL,483,581," $1,622,357.00 ",1254," $1,515,907.00 ",436,515," $1,549,293.00 ",1192," $1,435,222.00 ", - , - , $- ,0, $- ,5,6," $39,089.00 ",15," $39,065.00 ", - , - , $- ,0, $- 
37833,BLUE CLIFF CAREER COLLEGE,AL,110,117," $332,603.00 ",209," $327,870.00 ",72,79," $283,332.00 ",135," $283,051.00 ", - , - , $- ,0, $- ,1,1," $1,400.00 ",1," $1,400.00 ", - , - , $- ,0, $- 
38943,HUNTSVILLE BIBLE COLLEGE,AL,63,70," $224,171.00 ",126," $224,171.00 ",56,61," $302,553.00 ",110," $302,553.00 ",4,5," $40,500.00 ",9," $40,500.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
40663,CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND,AL,45,59," $221,678.00 ",116," $221,678.00 ",47,64," $321,805.00 ",126," $321,805.00 ", - , - , $- ,0, $- ,2,3," $23,600.00 ",5," $23,600.00 ", - , - , $- ,0, $- 
40673,SELMA UNIVERSITY,AL,510,859," $1,432,050.00 ",859," $1,432,050.00 ",472,784," $910,200.00 ",784," $910,200.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41215,COLUMBIA SOUTHERN UNIVERSITY,AL,5029,6042," $18,445,552.00 ",17739," $18,335,568.00 ",5484,6852," $26,497,523.00 ",19536," $26,084,775.00 ",2541,3415," $26,527,403.00 ",10126," $26,239,514.00 ", - , - , $- ,0, $- ,3,3," $34,405.00 ",11," $34,405.00 "
41492,XCELL ACADEMY A PAUL MITCHELL SCHOOL,AL,126,146," $429,760.00 ",279," $424,760.00 ",127,148," $614,374.00 ",275," $614,374.00 ", - , - , $- ,0, $- ,5,5," $39,459.00 ",11," $38,660.00 ", - , - , $- ,0, $- 
41872,NEW BEGINNING COLLEGE OF COSMETOLOGY,AL,91,99," $297,082.00 ",177," $297,082.00 ",83,90," $297,807.00 ",160," $297,447.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41975,UNIVERSITY ACADEMY OF HAIR DESIGN,AL,47,56," $173,293.00 ",105," $171,543.00 ",37,45," $188,525.00 ",82," $188,525.00 ", - , - , $- ,0, $- ,2,2," $25,545.00 ",4," $25,545.00 ", - , - , $- ,0, $- 
42110,SALON PROFESSIONAL ACADEMY (THE),AL,22,28," $82,787.00 ",45," $82,787.00 ",25,31," $107,928.00 ",51," $107,927.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,2067,2286," $7,012,513.00 ",4114," $7,011,894.00 ",1733,2000," $6,448,863.00 ",3584," $6,447,086.00 ",104,118," $922,968.00 ",231," $920,141.00 ",24,26," $117,526.00 ",44," $116,324.00 ", - , - , $- ,0, $- 
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,1898,2038," $7,184,397.00 ",3678," $7,168,508.00 ",1835,2670," $7,260,740.00 ",4824," $7,235,420.00 ",70,92," $524,656.00 ",157," $520,355.00 ",125,145," $891,347.00 ",258," $890,208.00 ", - , - , $- ,0, $- 
1087,ARKANSAS BAPTIST COLLEGE,AR,1112,1114," $3,659,669.00 ",1736," $3,292,275.00 ",1164,1421," $5,030,818.00 ",2196," $4,543,480.00 ",1,1," $6,000.00 ",2," $6,000.00 ",35,35," $245,447.00 ",59," $231,958.00 ", - , - , $- ,0, $- 
1088,LYON COLLEGE,AR,329,329," $1,336,985.00 ",611," $1,334,235.00 ",357,357," $1,251,504.00 ",666," $1,241,485.00 ", - , - , $- ,0, $- ,44,45," $369,256.00 ",80," $368,962.00 ", - , - , $- ,0, $- 
1089,ARKANSAS TECH UNIVERSITY,AR,4549,5309," $15,593,303.00 ",9407," $15,560,713.00 ",3773,5078," $13,583,978.00 ",8939," $13,538,439.00 ",511,787," $5,365,038.00 ",1391," $5,358,783.00 ",131,150," $684,564.00 ",261," $674,852.00 ",1,4," $13,800.00 ",7," $13,800.00 "
1090,ARKANSAS STATE UNIVERSITY,AR,6160,6747," $23,407,605.00 ",10755," $23,356,917.00 ",5578,6415," $24,138,201.00 ",10303," $24,046,602.00 ",3078,4182," $27,480,262.00 ",5767," $27,370,824.00 ",193,219," $1,495,454.00 ",342," $1,478,396.00 ",195,241," $2,775,568.00 ",351," $2,766,172.00 "
1091,ARKANSAS STATE UNIVERSITY - BEEBE,AR,613,645," $1,998,127.00 ",1879," $1,761,815.00 ",409,430," $1,706,362.00 ",1247," $1,500,390.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1092,UNIVERSITY OF CENTRAL ARKANSAS,AR,4036,4515," $14,821,692.00 ",7422," $14,794,928.00 ",4112,5031," $17,800,079.00 ",8314," $17,739,152.00 ",945,1350," $11,066,844.00 ",1944," $11,014,576.00 ",481,535," $3,332,863.00 ",876," $3,295,074.00 ",92,103," $445,143.00 ",104," $444,310.00 "
1093,CENTRAL BAPTIST COLLEGE,AR,463,463," $1,711,301.00 ",881," $1,681,153.00 ",430,431," $1,971,521.00 ",818," $1,936,687.00 ", - , - , $- ,0, $- ,30,30," $227,186.00 ",56," $205,678.00 ", - , - , $- ,0, $- 
1094,UNIVERSITY OF THE OZARKS,AR,233,269," $956,653.00 ",519," $940,236.00 ",245,312," $943,793.00 ",601," $920,530.00 ", - , - , $- ,0, $- ,22,26," $330,934.00 ",45," $308,872.00 ", - , - , $- ,0, $- 
1095,CROWLEY'S RIDGE COLLEGE,AR,94,94," $328,870.00 ",169," $305,605.00 ",89,89," $358,522.00 ",159," $332,111.00 ", - , - , $- ,0, $- ,18,18," $103,912.00 ",33," $96,183.00 ", - , - , $- ,0, $- 
1097,HARDING UNIVERSITY,AR,1963,2320," $8,542,325.00 ",3742," $8,530,633.00 ",2264,2847," $10,052,875.00 ",4556," $10,000,248.00 ",838,1443," $19,918,237.00 ",1835," $19,878,015.00 ",438,472," $5,179,782.00 ",830," $5,125,604.00 ",247,345," $4,207,020.00 ",545," $4,198,453.00 "
1098,HENDERSON STATE UNIVERSITY,AR,1819,2090," $6,624,191.00 ",3781," $6,603,236.00 ",1745,2054," $6,879,820.00 ",3683," $6,848,489.00 ",302,384," $4,037,161.00 ",698," $4,028,795.00 ",79,95," $501,290.00 ",176," $496,362.00 ", - , - , $- ,0, $- 
1099,HENDRIX COLLEGE,AR,445,450," $1,882,792.00 ",846," $1,879,697.00 ",565,631," $2,158,798.00 ",1172," $2,142,516.00 ",8,9," $144,200.00 ",17," $142,887.00 ",143,152," $2,234,263.00 ",275," $2,217,478.00 ",1,1," $16,398.00 ",2," $16,398.00 "
1100,JOHN BROWN UNIVERSITY,AR,1014,1020," $4,110,518.00 ",1768," $4,081,293.00 ",1006,1009," $4,304,950.00 ",1750," $4,237,353.00 ",327,327," $4,269,480.00 ",737," $4,216,869.00 ",152,153," $1,264,875.00 ",281," $1,241,142.00 ",5,5," $78,460.00 ",13," $78,460.00 "
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,4920,5578," $18,995,359.00 ",8701," $18,965,882.00 ",4281,5614," $20,014,732.00 ",8433," $19,953,526.00 ",1386,1738," $20,702,498.00 ",2715," $20,582,072.00 ",104,133," $819,007.00 ",189," $809,736.00 ",305,376," $1,883,341.00 ",562," $1,882,410.00 "
1102,OUACHITA BAPTIST UNIVERSITY,AR,488,496," $1,949,732.00 ",908," $1,949,694.00 ",630,679," $2,474,171.00 ",1243," $2,456,496.00 ", - , - , $- ,0, $- ,112,116," $1,281,727.00 ",206," $1,271,669.00 ", - , - , $- ,0, $- 
1103,PHILANDER SMITH COLLEGE,AR,528,570," $2,142,098.00 ",1039," $2,060,465.00 ",541,585," $2,818,941.00 ",1064," $2,703,018.00 ", - , - , $- ,0, $- ,44,49," $403,470.00 ",94," $397,222.00 ", - , - , $- ,0, $- 
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,71,71," $208,950.00 ",125," $208,950.00 ",2,2," $5,750.00 ",3," $5,750.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1105,SHORTER COLLEGE,AR,189,237," $470,411.00 ",415," $457,786.00 ",192,243," $668,329.00 ",426," $649,829.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1106,WILLIAMS BAPTIST COLLEGE,AR,320,328," $1,195,888.00 ",574," $1,193,624.00 ",250,387," $799,978.00 ",595," $798,058.00 ", - , - , $- ,0, $- ,22,24," $114,235.00 ",38," $113,398.00 ", - , - , $- ,0, $- 
1107,SOUTHERN ARKANSAS UNIVERSITY,AR,1378,1708," $5,025,407.00 ",3200," $5,021,068.00 ",1132,1428," $4,442,260.00 ",2678," $4,434,258.00 ",336,498," $3,948,741.00 ",941," $3,943,665.00 ",50,59," $282,943.00 ",113," $280,518.00 ",8,8," $47,575.00 ",15," $47,575.00 "
